Entity,Code,Year,Number of one-year-olds vaccinated with three doses of Hepatitis B containing vaccine (HEPB3),"Number of one-year-olds vaccinated with three doses of combined diphtheria, tetanus toxoid and pertussis- containing vaccine (DTP3)",Number of one-year-olds vaccinated with the third dose of either oral or inactivated polio vaccine (POL3),Population - Sex: all - Age: 0 - Variant: estimates,Number of one-year-olds vaccinated with the first dose of measles-containing vaccine (MCV1),Number of one-year-olds vaccinated with three doses of Haemophilus influenzae type b containing vaccine (HIB3),Number of one-year-olds vaccinated with one dose of rubella-containing vaccine (RCV1),Number of one-year-olds vaccinated with the final recommended dose (2nd or 3rd) of rotavirus vaccine (ROTAC)
India,IND,1980,,1279911,426637,23096810,,,,
India,IND,1981,,1313869.9,437956.62,23617764,,,,
India,IND,1982,,2691502.5,1794335,24012074,,,,
India,IND,1983,,3197817,2284155,24416892,,,,
India,IND,1984,,3722078.8,2791559,24877958,,,,
India,IND,1985,,4272595.5,3323130,25262632,237366.42,,,
India,IND,1986,,4827398.5,3861918.8,25650160,2413699.2,,,
India,IND,1987,,7362054,6625848.5,25925492,5889643,,,
India,IND,1988,,9934518,9189430,26061034,7947614.5,,,
India,IND,1989,,12499435,13749379,26244504,10499525,,,
India,IND,1990,,17645228,16636930,26352270,14116183,,,
India,IND,1991,,14443866,14697267,26465542,10896250,,,
India,IND,1992,,14267824,14267824,26599184,12993912,,,
India,IND,1993,,15638746,15638746,26675918,15126000,,,
India,IND,1994,,17244178,17244178,26785374,17244178,,,
India,IND,1995,,18369318,18369318,26929546,18628042,,,
India,IND,1996,,17190792,17451258,27025566,17190792,,,
India,IND,1997,,16229730,16491500,27097218,14397341,,,
India,IND,1998,,16033508,15770664,27182494,13930753,,,
India,IND,1999,,15578439,15050356,27281604,14786315,,,
India,IND,2000,,15391553,15126181,27503792,14860810,,,
India,IND,2001,,15806494,15538587,27798782,15270681,,,
India,IND,2002,,15995471,15724361,27843244,15182142,,,
India,IND,2003,,16586654,15499005,27623644,16314742,,,
India,IND,2004,1621347.5,17024148,15673026,27379292,17294374,,,
India,IND,2005,2145731,17434064,17434064,27061118,18238712,,,
India,IND,2006,1592866.8,17256056,17521534,26664326,18317968,,,
India,IND,2007,1571642,16764182,17550002,26335410,18335824,,,
India,IND,2008,7511135,18130326,17871322,26149244,18648336,,,
India,IND,2009,9529323,19058646,18801096,26151082,20088842,,,
India,IND,2010,9801903,20377640,19603806,26058944,21151476,,,
India,IND,2011,11322621,21101248,20329252,25838236,21615914,,,
India,IND,2012,18645296,20944030,20177784,25648870,21199444,,,
India,IND,2013,17765778,21065138,20811340,25355094,21065138,5075937,,
India,IND,2014,19838240,21344942,21093824,24722340,21344942,5022339,,
India,IND,2015,21317028,21317028,21072004,24342840,21317028,11026048,,
India,IND,2016,21249276,21249276,20766338,24455540,21249276,19317524,,965876.2
India,IND,2017,21607638,21607638,21607638,24160664,21850422,21607638,1456694.8,3156172
India,IND,2018,21596060,21596060,21596060,23901006,22315928,21596060,22315928,8398468
India,IND,2019,21608798,21608798,21371338,23757788,22558636,21608798,22558636,12585344
India,IND,2020,20075912,20075912,20075912,23235718,21020660,20075912,21020660,19367350
India,IND,2021,19647080,19647080,19647080,22874418,20571648,19647080,20571648,19184796
India,IND,2022,21162300,21162300,21162300,22790964,21617404,21162300,21617404,20934750
India,IND,2023,20635254,20635254,20635254,22759022,21088776,20635254,21088776,20408494